ds,y,yhat,yhat_lower,yhat_upper
2019-03-06,1439510.75,1432841.8916474492,1157270.6633126328,1703402.6893768702
2019-03-07,1539948.19,1425751.699539758,1160648.288547002,1705030.3056470936
2019-03-08,1493645.75,1404626.007146182,1129792.193372366,1676756.5311316454
2019-03-09,1546828.06,1407623.0804853998,1141706.416466679,1664237.3091558865
2019-03-10,1537952.98,1421094.467053733,1136568.9900045122,1693264.83446241
2019-03-11,1349002.87,1400850.5907410341,1134496.9839520706,1681803.1452741867
2019-03-12,1684629.3,1420041.046072025,1146379.663567931,1693957.4693625304
2019-03-13,1433546.44,1405400.8866316236,1120934.8112895493,1673979.812506235
2019-03-14,1183857.03,1394080.727179949,1125826.884996388,1679560.2700647644
2019-03-15,993615.8,1369367.237700937,1107192.3200149487,1658534.1346701724
2019-03-16,1635998.85,1369499.4625982852,1110594.1897953853,1620859.843464217
2019-03-17,970538.24,1380891.691556424,1106711.3950542614,1650629.3523611352
2019-03-18,1384215.96,1359397.5030970797,1091986.3960427577,1646790.5883708745
2019-03-19,1632268.98,1378189.028735627,1126603.480271626,1655027.224731316
2019-03-20,1393607.6300000001,1364002.7591214185,1084769.8817482947,1633816.7136693983
2019-03-21,1550767.0,1353969.723206153,1095607.5723945335,1613025.7331610098
2019-03-22,884671.77,1331336.614928136,1060731.508359446,1607235.9867840586
2019-03-23,1421157.8,1334283.281711331,1072403.8204716174,1611403.8844523758
2019-03-24,1633452.1300000001,1349147.2677666608,1067866.4264396776,1619545.629198598
2019-03-25,1292353.51,1331689.986046106,1052437.132756146,1611281.9000640973
2019-03-26,1667500.91,1354978.5072501253,1079993.086058964,1645071.0486955289
2019-03-27,1598694.82,1345634.217130542,1064280.156371785,1604435.5738291685
2019-03-28,1412828.33,1340666.094313266,1101682.415722851,1604100.906003013
2019-03-29,1282943.06,1323195.0978464368,1058179.8940567507,1571332.3214729372
2019-03-30,1686022.99,1331274.9893990785,1064437.1156025622,1606504.5361157262
2019-03-31,1391392.91,1351120.192133348,1065974.5729101968,1609771.9446684683
2019-04-01,1415838.2,1338375.1700603561,1055546.5450248532,1606095.4841498828
2019-04-02,1331851.66,1365999.2296638605,1093953.1042070605,1634852.635856364
2019-04-03,1446907.57,1360517.914227398,1091768.1909350858,1620559.9670030014
2019-04-04,1232553.86,1358858.6703112435,1067341.8561651614,1643168.4174459737
2019-04-05,1053299.24,1344077.212820031,1076019.7026697397,1616240.6223678002
2019-04-06,1224795.14,1354179.8625351,1100976.8911761981,1634750.7291459246
2019-04-07,1306481.24,1375352.4201586894,1111786.6600653618,1644297.058651227
2019-04-08,1230328.1,1363230.03677103,1088819.9094285325,1627741.4921750529
2019-04-09,1197612.02,1390781.9732390218,1109212.0773756674,1665902.4422126475
2019-04-10,1444295.7,1384562.424604445,1118828.0141176654,1651253.0468821707
2019-04-11,1629263.14,1381545.1090986538,1119410.8309707534,1678868.8443782988
2019-04-12,1395686.14,1364848.0823788904,1085582.8059592831,1643153.5548619814
2019-04-13,1057421.86,1372554.0979420769,1112796.4515818495,1646148.414911999
2019-04-14,1565057.75,1390937.1363714545,1112122.6186005948,1642480.727303735
2019-04-15,1453093.35,1375729.6317513802,1100139.7008840318,1635088.3433144535
2019-04-16,1335981.39,1400004.3640615335,1143147.1973800606,1688698.7717037646
2019-04-17,1561529.98,1390422.2755130008,1117296.7264964886,1672460.830366224
2019-04-18,1505488.8599999999,1384063.9957256485,1097679.923226962,1632748.0971496576
2019-04-19,1282194.63,1364151.6225038662,1092726.5340191026,1636146.0681249595
2019-04-20,1373181.77,1368866.1638080804,1118012.6791332809,1638668.2073888946
2019-04-21,1402424.92,1384571.344330412,1111156.2036291885,1659486.303347875
2019-04-22,1160140.6,1367078.3796251486,1084685.3073070599,1635835.1981861356
2019-04-23,1093044.26,1389525.753069219,1099332.855738357,1641813.3834329755
2019-04-24,1501574.3699999999,1378625.3098405753,1122503.4999170245,1636536.5876071393
2019-04-25,1378240.38,1371492.4980804818,1112563.7285360133,1656077.737060227
2019-04-26,1505769.63,1351367.3357965285,1075230.732985568,1623189.5773011977
2019-04-27,1580024.05,1356431.5279436102,1088314.965026992,1594706.732521663
2019-04-28,1427592.67,1373032.441748761,1096499.6018351747,1659112.4518657797
2019-04-29,1192463.0,1356948.5339475381,1087948.0011143356,1639818.66976752
2019-04-30,1440893.31,1381270.2422691018,1125658.1877184443,1659601.797955285
2019-05-01,1364890.74,1372647.6197885105,1098346.4497292012,1656348.7329123898
2019-05-02,1580512.36,1368122.494428039,1084182.2613465071,1641501.3802077423
2019-05-03,1476786.4,1350851.6747279915,1083591.4935427813,1619234.2509262718
2019-05-04,1130238.98,1358926.559733154,1088145.6317435184,1616223.095553488
2019-05-05,1508900.14,1378599.7880678738,1118970.139456098,1634943.95463504
2019-05-06,1523769.47,1365553.442330338,1092481.2890467078,1635573.4167279722
2019-05-07,1385362.46,1392782.741343987,1122395.6856808134,1659275.5353240212
2019-05-08,1356104.69,1386846.4191135312,1123614.747626781,1663573.616090475
2019-05-09,1339610.43,1384701.495290943,1097159.3055512805,1663403.745513158
2019-05-10,1612963.1,1369428.8852794624,1105851.9224175932,1660956.6344612592
2019-05-11,1500724.44,1379055.1413565814,1100066.8388423047,1626457.3605025464
2019-05-12,1326615.42,1399780.9017850494,1127897.4843007259,1688873.3578247314
2019-05-13,1327667.1,1387250.5158902477,1142406.6987971587,1647654.4481633257
2019-05-14,993658.74,1414436.7407265878,1138840.7851011066,1682489.2288266595
2019-05-15,1447364.56,1407891.6834519294,1134338.8046020425,1685438.3804060505
2019-05-16,1343825.57,1404581.682278946,1111501.4003191285,1671292.4100509253
2019-05-17,1302066.85,1387612.5752052062,1100012.9248912227,1651692.8548690167
2019-05-18,1452660.33,1395050.661838579,1133266.785006063,1674064.162080558
2019-05-19,1086993.48,1413149.961566767,1141434.6562431743,1689893.108967008
2019-05-20,1056648.51,1397620.2738040488,1136785.6831726723,1658353.3958109568
2019-05-21,1330536.29,1421509.9839712735,1130432.6520733058,1675801.1030438335
2019-05-22,1276297.96,1411454.8461717453,1139587.3150944856,1688008.477284791
2019-05-23,1185740.24,1404510.4993598398,1131296.1036381577,1699641.6293676621
2019-05-24,1489979.49,1383875.2353161157,1116775.9622009592,1668850.3357237468
2019-05-25,1365964.32,1387708.3959992898,1125930.2260325626,1658745.8867472843
2019-05-26,1457285.75,1402355.0768160035,1127304.9887282893,1667489.3013961727
2019-05-27,1424052.29,1383611.7137427856,1121978.0523876112,1644633.37411803
2019-05-28,1302225.66,1404606.5670097372,1133084.215526079,1668562.572313246
2019-05-29,1391073.7,1392046.3962508189,1124132.3481548112,1665672.6755269512
2019-05-30,1540352.23,1383047.1409619672,1150099.3684293504,1650761.0695176239
2019-05-31,1200311.53,1360855.1731554165,1075595.1542042335,1632498.015452191
2019-06-01,1400370.75,1363664.5385803876,1100522.3723749344,1634948.240864343
2019-06-02,1264682.72,1377840.8910567204,1105849.5036754177,1646004.5710354273
2019-06-03,1213500.67,1359186.714389103,1062160.4891120465,1609365.5414974063
2019-06-04,1181060.96,1380821.8492824098,1123190.6458532743,1642788.1191148777
2019-06-05,1405486.02,1369430.6130533374,1085847.4448747623,1646485.5581760493
2019-06-06,1094617.97,1362093.3074032338,1090639.0531803456,1627213.10716866
2019-06-07,1437247.09,1342008.6517743669,1080479.0772184297,1618376.9817919107
2019-06-08,1344878.49,1347312.5194917952,1085521.577415429,1593609.7187819756
2019-06-09,1304850.96,1364303.6335376918,1098068.3834675546,1609510.3072943098
2019-06-10,1894607.3699999999,1348710.7616940239,1087743.9679420448,1615428.972730418
2019-06-11,1464462.8,1373575.3684013626,1097568.6203474747,1638949.714805683
2019-06-12,1338618.64,1365500.9475538991,1077721.8892793471,1608799.3099838302
2019-06-13,1322450.91,1361486.7663223466,1091712.0846719104,1636549.653628064
2019-06-14,993495.84,1344652.49270483,1071557.2067543846,1626896.9103215344
2019-06-15,1279394.93,1353059.0214377872,1066837.7651302456,1637358.8893597585
2019-06-16,1795496.21,1372936.0966199874,1099875.9155980037,1625816.3668392817
2019-06-17,1359760.97,1359951.218028108,1083642.0512583496,1619720.8642402324
2019-06-18,1397195.27,1387093.7430176728,1104676.8039772988,1627512.6312680747
2019-06-19,1405379.03,1380925.3711149246,1107282.9709877295,1677814.9999447798
2019-06-20,1764746.83,1378414.7139528757,1112766.484494373,1658458.1571460112
2019-06-21,1166088.21,1362662.405834884,1091418.9313253935,1635182.8082150589
2019-06-22,1365454.53,1371722.0627486126,1106867.0997414761,1662886.0533593164
2019-06-23,1191822.32,1391827.6919655218,1120654.9201215792,1676829.334622752
2019-06-24,1250618.44,1378662.0533418055,1093565.9166201637,1639686.8226683454
2019-06-25,1240273.1,1405239.9080593644,1135809.2670268924,1683324.2084293906
2019-06-26,1206242.72,1398157.3748137178,1119488.2797742777,1674518.8262777228
2019-06-27,1760679.17,1394425.1365971225,1119290.1866444657,1689069.7459746136
2019-06-28,1623363.47,1377192.000443807,1096024.4125321116,1656454.6828709752
2019-06-29,1426466.01,1384564.1699002832,1118210.8367570217,1640751.4403404202
2019-06-30,1281739.36,1402830.887567863,1128429.177346554,1675490.7321466783
2019-07-01,1350681.25,1387731.005556633,1125429.510975264,1652021.0705114666
2019-07-02,1528075.03,1412334.4760632212,1160088.9163551796,1670847.9209436157
2019-07-03,1469413.11,1403290.0365580085,1132020.6848892237,1661853.8269374063
2019-07-04,1294531.01,1397656.8835465657,1120691.6831672245,1669956.6962499171
2019-07-05,1354498.29,1378626.8828979302,1111430.073509949,1675595.8310410015
2019-07-06,1335812.38,1384342.7155749057,1134061.9350021575,1667610.7938876427
2019-07-07,1278146.27,1401122.6474876844,1144609.9054605386,1681958.4960634678
2019-07-08,1291217.46,1384726.5040965483,1128445.2249769478,1647120.107269664
2019-07-09,1163474.76,1408236.8555503478,1133993.8182137196,1674252.3731877992
2019-07-10,1180948.71,1398306.6908832327,1133833.5210192238,1661007.0291759681
2019-07-11,1307853.26,1391991.3697087844,1124119.6105262653,1668821.4836932363
2019-07-12,1612276.44,1372471.3845815938,1086497.151754176,1648886.7356301832
2019-07-13,1449049.56,1377871.30930944,1107990.2201659179,1660924.8471928928
2019-07-14,1336569.08,1394485.5904787942,1145405.5653557922,1674957.9791913258
2019-07-15,1243711.33,1378045.724534229,1107116.155761087,1651312.0565366838
2019-07-16,1338274.28,1401602.7823588806,1128182.9782402646,1666969.066178645
2019-07-17,1405057.26,1391776.511938432,1124087.4990675761,1667972.2431966395
2019-07-18,1202157.31,1385588.7570721572,1104858.6174781164,1668992.4755180152
